name,away/home,goals
Southampton FC,away,1
Brentford FC,home,4
Leicester City FC,away,1
Crystal Palace FC,home,1
Newcastle United FC,away,1
Nottingham Forest FC,home,1
Ipswich Town FC,away,0
Wolverhampton Wanderers FC,home,2
AFC Bournemouth,away,4
West Ham United FC,home,2
Arsenal FC,away,5
Chelsea FC,home,3
Aston Villa FC,away,0
Manchester United FC,home,4
Everton FC,away,0
Tottenham Hotspur FC,home,1
Fulham FC,away,1
Liverpool FC,home,2
Manchester City FC,away,0
Ipswich Town FC,home,0
Crystal Palace FC,away,1
Leicester City FC,home,3
West Ham United FC,away,1
Everton FC,home,4
Wolverhampton Wanderers FC,away,0
Manchester City FC,home,3
Nottingham Forest FC,away,0
Newcastle United FC,home,3
Liverpool FC,away,3
Southampton FC,home,1
Chelsea FC,away,5
Arsenal FC,home,2
Manchester United FC,away,0
Aston Villa FC,home,3
Brentford FC,away,1
Fulham FC,home,3
Brighton & Hove Albion FC,away,1
AFC Bournemouth,home,1
Tottenham Hotspur FC,away,0
Aston Villa FC,home,1
Southampton FC,away,0
Brentford FC,home,4
Newcastle United FC,away,2
Crystal Palace FC,home,2
Manchester City FC,away,2
Manchester United FC,home,2
Nottingham Forest FC,away,3
Fulham FC,home,1
Arsenal FC,away,1
Ipswich Town FC,home,1
AFC Bournemouth,away,2
Leicester City FC,home,2
Brighton & Hove Albion FC,away,2
Tottenham Hotspur FC,home,3
Chelsea FC,away,4
West Ham United FC,home,2
Wolverhampton Wanderers FC,away,1
Arsenal FC,home,0
Everton FC,away,0
Liverpool FC,home,2
Fulham FC,away,2
Newcastle United FC,home,4
Leicester City FC,away,0
Wolverhampton Wanderers FC,home,1
Ipswich Town FC,away,2
Nottingham Forest FC,home,2
Aston Villa FC,away,1
Brighton & Hove Albion FC,home,1
Crystal Palace FC,away,3
Manchester City FC,home,1
Manchester United FC,away,2
Chelsea FC,home,2
Brentford FC,away,1
Southampton FC,home,0
Tottenham Hotspur FC,away,5
AFC Bournemouth,home,1
West Ham United FC,away,1
Aston Villa FC,home,2
Manchester City FC,away,1
Brentford FC,home,0
Nottingham Forest FC,away,2
Ipswich Town FC,home,0
Newcastle United FC,away,4
West Ham United FC,home,1
Brighton & Hove Albion FC,away,1
Crystal Palace FC,home,1
Arsenal FC,away,5
Everton FC,home,0
Chelsea FC,away,0
Fulham FC,home,0
Southampton FC,away,0
Leicester City FC,home,0
Wolverhampton Wanderers FC,away,3
Manchester United FC,home,0
AFC Bournemouth,away,3
Tottenham Hotspur FC,home,3
Liverpool FC,away,6
Manchester City FC,home,1
Everton FC,away,1
AFC Bournemouth,home,0
Crystal Palace FC,away,0
Chelsea FC,home,1
Fulham FC,away,2
Newcastle United FC,home,3
Aston Villa FC,away,0
Nottingham Forest FC,home,1
Tottenham Hotspur FC,away,0
Southampton FC,home,0
West Ham United FC,away,1
Wolverhampton Wanderers FC,home,2
Manchester United FC,away,0
Liverpool FC,home,3
Leicester City FC,away,1
Brighton & Hove Albion FC,home,0
Brentford FC,away,0
Arsenal FC,home,1
Ipswich Town FC,away,0
Leicester City FC,home,0
Manchester City FC,away,2
Crystal Palace FC,home,2
Southampton FC,away,1
Everton FC,home,0
Nottingham Forest FC,away,2
Fulham FC,home,2
AFC Bournemouth,away,2
Tottenham Hotspur FC,home,2
Wolverhampton Wanderers FC,away,2
West Ham United FC,home,0
Liverpool FC,away,5
Aston Villa FC,home,2
Brighton & Hove Albion FC,away,2
Ipswich Town FC,home,2
Chelsea FC,away,0
Manchester United FC,home,0
Newcastle United FC,away,2
Brentford FC,home,1
Arsenal FC,away,3
Tottenham Hotspur FC,home,1
Newcastle United FC,away,2
Southampton FC,home,0
Brentford FC,away,5
Crystal Palace FC,home,1
Chelsea FC,away,1
AFC Bournemouth,home,1
Everton FC,away,0
Aston Villa FC,home,2
Leicester City FC,away,1
Manchester City FC,home,4
West Ham United FC,away,1
Brighton & Hove Albion FC,home,1
Arsenal FC,away,1
Fulham FC,home,2
Ipswich Town FC,away,2
Liverpool FC,home,2
Manchester United FC,away,2
Wolverhampton Wanderers FC,home,0
Nottingham Forest FC,away,3
West Ham United FC,home,3
Fulham FC,away,2
Brentford FC,home,2
Manchester City FC,away,2
Chelsea FC,home,2
AFC Bournemouth,away,2
Nottingham Forest FC,home,1
Liverpool FC,away,1
Everton FC,home,0
Aston Villa FC,away,1
Leicester City FC,home,0
Crystal Palace FC,away,2
Newcastle United FC,home,3
Wolverhampton Wanderers FC,away,0
Arsenal FC,home,2
Tottenham Hotspur FC,away,1
Ipswich Town FC,home,0
Brighton & Hove Albion FC,away,2
Manchester United FC,home,3
Southampton FC,away,1
Newcastle United FC,home,1
AFC Bournemouth,away,4
West Ham United FC,home,0
Crystal Palace FC,away,2
Leicester City FC,home,0
Fulham FC,away,2
Brentford FC,home,0
Liverpool FC,away,2
Arsenal FC,home,2
Aston Villa FC,away,2
Manchester United FC,home,1
Brighton & Hove Albion FC,away,3
Nottingham Forest FC,home,3
Southampton FC,away,2
Everton FC,home,3
Tottenham Hotspur FC,away,2
Ipswich Town FC,home,0
Manchester City FC,away,6
Chelsea FC,home,3
Wolverhampton Wanderers FC,away,1
Liverpool FC,home,4
Ipswich Town FC,away,1
Wolverhampton Wanderers FC,home,0
Arsenal FC,away,1
Brighton & Hove Albion FC,home,0
Everton FC,away,1
Southampton FC,home,1
Newcastle United FC,away,3
AFC Bournemouth,home,5
Nottingham Forest FC,away,0
Manchester City FC,home,3
Chelsea FC,away,1
Crystal Palace FC,home,1
Brentford FC,away,2
Tottenham Hotspur FC,home,1
Leicester City FC,away,2
Aston Villa FC,home,1
West Ham United FC,away,1
Fulham FC,home,0
Manchester United FC,away,1
Nottingham Forest FC,home,7
Brighton & Hove Albion FC,away,0
Newcastle United FC,home,1
Fulham FC,away,2
Everton FC,home,4
Leicester City FC,away,0
AFC Bournemouth,home,0
Liverpool FC,away,2
Ipswich Town FC,home,1
Southampton FC,away,2
Wolverhampton Wanderers FC,home,2
Aston Villa FC,away,0
Manchester United FC,home,0
Crystal Palace FC,away,2
Brentford FC,home,0
Tottenham Hotspur FC,away,2
Arsenal FC,home,5
Manchester City FC,away,1
Chelsea FC,home,2
West Ham United FC,away,1
Everton FC,home,2
Liverpool FC,away,2
Brighton & Hove Albion FC,home,3
Chelsea FC,away,0
Leicester City FC,home,0
Arsenal FC,away,2
Southampton FC,home,1
AFC Bournemouth,away,3
West Ham United FC,home,0
Brentford FC,away,1
Aston Villa FC,home,1
Ipswich Town FC,away,1
Manchester City FC,home,4
Newcastle United FC,away,0
Fulham FC,home,2
Nottingham Forest FC,away,1
Crystal Palace FC,home,1
Everton FC,away,2
Liverpool FC,home,2
Wolverhampton Wanderers FC,away,1
Tottenham Hotspur FC,home,1
Manchester United FC,away,0
Aston Villa FC,home,2
Liverpool FC,away,2
Leicester City FC,home,0
Brentford FC,away,4
Everton FC,home,2
Manchester United FC,away,2
Ipswich Town FC,home,1
Tottenham Hotspur FC,away,4
Fulham FC,home,0
Crystal Palace FC,away,2
Arsenal FC,home,0
West Ham United FC,away,1
AFC Bournemouth,home,0
Wolverhampton Wanderers FC,away,1
Southampton FC,home,0
Brighton & Hove Albion FC,away,4
Aston Villa FC,home,2
Chelsea FC,away,1
Newcastle United FC,home,4
Nottingham Forest FC,away,3
Manchester City FC,home,0
Liverpool FC,away,2
Brighton & Hove Albion FC,home,2
AFC Bournemouth,away,1
Crystal Palace FC,home,4
Aston Villa FC,away,1
Wolverhampton Wanderers FC,home,1
Fulham FC,away,2
Chelsea FC,home,4
Southampton FC,away,0
Nottingham Forest FC,home,0
Arsenal FC,away,0
Brentford FC,home,1
Everton FC,away,1
Tottenham Hotspur FC,home,0
Manchester City FC,away,1
Manchester United FC,home,3
Ipswich Town FC,away,2
Liverpool FC,home,2
Newcastle United FC,away,0
West Ham United FC,home,2
Leicester City FC,away,0
Nottingham Forest FC,home,1
Manchester City FC,away,0
Brighton & Hove Albion FC,home,2
Fulham FC,away,1
Crystal Palace FC,home,1
Ipswich Town FC,away,0
Liverpool FC,home,3
Southampton FC,away,1
Brentford FC,home,0
Aston Villa FC,away,1
Wolverhampton Wanderers FC,home,1
Everton FC,away,1
Tottenham Hotspur FC,home,2
AFC Bournemouth,away,2
Chelsea FC,home,1
Leicester City FC,away,0
Manchester United FC,home,1
Arsenal FC,away,1
West Ham United FC,home,0
Newcastle United FC,away,1
Everton FC,home,1
West Ham United FC,away,1
Ipswich Town FC,home,2
Nottingham Forest FC,away,4
Manchester City FC,home,2
Brighton & Hove Albion FC,away,2
Southampton FC,home,1
Wolverhampton Wanderers FC,away,2
AFC Bournemouth,home,1
Brentford FC,away,2
Arsenal FC,home,1
Chelsea FC,away,0
Fulham FC,home,2
Tottenham Hotspur FC,away,0
Leicester City FC,home,0
Manchester United FC,away,3
Arsenal FC,home,0
Fulham FC,away,0
Wolverhampton Wanderers FC,home,0
West Ham United FC,away,0
Nottingham Forest FC,home,0
Manchester United FC,away,0
AFC Bournemouth,home,0
Ipswich Town FC,away,0
Brighton & Hove Albion FC,home,0
Aston Villa FC,away,0
Manchester City FC,home,0
Leicester City FC,away,0
Newcastle United FC,home,0
Brentford FC,away,0
Southampton FC,home,0
Crystal Palace FC,away,0
Liverpool FC,home,0
Everton FC,away,0
Chelsea FC,home,0
Tottenham Hotspur FC,away,0
Everton FC,home,0
Arsenal FC,away,0
Crystal Palace FC,home,0
Brighton & Hove Albion FC,away,0
Ipswich Town FC,home,0
Wolverhampton Wanderers FC,away,0
West Ham United FC,home,0
AFC Bournemouth,away,0
Aston Villa FC,home,0
Nottingham Forest FC,away,0
Brentford FC,home,0
Chelsea FC,away,0
Fulham FC,home,0
Liverpool FC,away,0
Tottenham Hotspur FC,home,0
Southampton FC,away,0
Manchester United FC,home,0
Manchester City FC,away,0
Leicester City FC,home,0
Newcastle United FC,away,0
Manchester City FC,home,0
Crystal Palace FC,away,0
Brighton & Hove Albion FC,home,0
Leicester City FC,away,0
Nottingham Forest FC,home,0
Everton FC,away,0
Southampton FC,home,0
Aston Villa FC,away,0
Arsenal FC,home,0
Brentford FC,away,0
Chelsea FC,home,0
Ipswich Town FC,away,0
Liverpool FC,home,0
West Ham United FC,away,0
Wolverhampton Wanderers FC,home,0
Tottenham Hotspur FC,away,0
Newcastle United FC,home,0
